"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Overgewicht_9";"Roker_11";"VoldoetAanAlcoholRichtlijn_12";"ErnstigZeerErnstigEenzaam_28"
"432630";"80200";"MW00000";"BU00590103";"2020JJ00";"    60.5";"    10.7";"    48.9";"     8.4"
"432634";"80200";"MW00000";"BU00590107";"2020JJ00";"       .";"       .";"       .";"       ."
"432638";"80200";"MW00000";"BU00590108";"2020JJ00";"    54.8";"     7.4";"    48.0";"     5.5"
"432642";"80200";"MW00000";"BU00590109";"2020JJ00";"    56.4";"     8.2";"    50.3";"     6.4"
"432646";"80200";"MW00000";"WK005902  ";"2020JJ00";"    62.7";"    10.0";"    57.3";"     8.5"
"432650";"80200";"MW00000";"BU00590200";"2020JJ00";"    61.8";"     8.5";"    60.0";"     9.2"
"432654";"80200";"MW00000";"BU00590201";"2020JJ00";"    65.5";"    12.0";"    56.2";"     8.3"
"432658";"80200";"MW00000";"BU00590202";"2020JJ00";"    62.5";"    10.0";"    50.2";"     7.2"
"432662";"80200";"MW00000";"BU00590203";"2020JJ00";"    62.6";"    12.9";"    56.2";"     8.6"
"432666";"80200";"MW00000";"BU00590206";"2020JJ00";"    62.1";"    11.2";"    53.4";"     7.8"
"432670";"80200";"MW00000";"BU00590207";"2020JJ00";"    62.1";"    10.6";"    48.0";"     5.6"
"432674";"80200";"MW00000";"BU00590208";"2020JJ00";"    59.9";"     9.4";"    52.5";"     7.6"
"432678";"80200";"MW00000";"BU00590209";"2020JJ00";"    56.0";"     9.1";"    52.6";"     6.2"
"432682";"80200";"MW00000";"GM0482    ";"2020JJ00";"    61.8";"     8.7";"    62.9";"    10.7"
"432686";"80200";"MW00000";"WK048201  ";"2020JJ00";"    60.5";"     8.0";"    62.6";"    10.2"
"432690";"80200";"MW00000";"BU04820101";"2020JJ00";"    59.5";"     7.3";"    62.8";"    10.0"
"432694";"80200";"MW00000";"BU04820102";"2020JJ00";"    62.4";"    10.7";"    69.5";"    14.8"
"432698";"80200";"MW00000";"BU04820103";"2020JJ00";"    59.3";"     8.6";"    63.2";"     9.7"
"432702";"80200";"MW00000";"BU04820104";"2020JJ00";"    61.5";"     8.5";"    62.6";"    10.1"
"432706";"80200";"MW00000";"BU04820105";"2020JJ00";"    60.6";"     6.2";"    57.7";"     7.8"
"432710";"80200";"MW00000";"WK048202  ";"2020JJ00";"    61.7";"     8.3";"    63.3";"    11.4"
"432714";"80200";"MW00000";"BU04820201";"2020JJ00";"    56.3";"     6.0";"    56.9";"     7.2"
"432718";"80200";"MW00000";"BU04820202";"2020JJ00";"    62.6";"     8.5";"    65.4";"    11.2"
"432722";"80200";"MW00000";"BU04820203";"2020JJ00";"    65.8";"     7.8";"    60.4";"    11.5"
"432726";"80200";"MW00000";"BU04820204";"2020JJ00";"       .";"       .";"       .";"       ."
"432730";"80200";"MW00000";"BU04820205";"2020JJ00";"    62.4";"     9.8";"    67.1";"    14.9"
"432734";"80200";"MW00000";"BU04820206";"2020JJ00";"    67.9";"     7.7";"    58.3";"     8.9"
"432738";"80200";"MW00000";"WK048203  ";"2020JJ00";"    63.0";"     9.4";"    61.7";"    10.1"
"432742";"80200";"MW00000";"BU04820301";"2020JJ00";"    60.8";"    10.4";"    56.7";"     8.3"
"432746";"80200";"MW00000";"BU04820302";"2020JJ00";"    56.1";"     8.6";"    55.3";"     7.6"
"432750";"80200";"MW00000";"BU04820303";"2020JJ00";"    63.4";"     9.7";"    53.5";"     8.1"
"432754";"80200";"MW00000";"BU04820304";"2020JJ00";"    63.8";"     8.9";"    55.5";"     7.6"
"432758";"80200";"MW00000";"BU04820305";"2020JJ00";"    65.2";"     8.0";"    66.4";"    12.3"
"432762";"80200";"MW00000";"BU04820306";"2020JJ00";"    63.0";"     9.6";"    67.8";"    11.5"
"432766";"80200";"MW00000";"BU04820307";"2020JJ00";"    64.4";"    10.0";"    66.1";"    11.6"
"432770";"80200";"MW00000";"WK048204  ";"2020JJ00";"    61.8";"     9.2";"    64.9";"    11.5"
"432774";"80200";"MW00000";"BU04820401";"2020JJ00";"    62.9";"     8.6";"    64.0";"    11.4"
"432778";"80200";"MW00000";"BU04820402";"2020JJ00";"    61.1";"    10.5";"    63.6";"    11.0"
"432782";"80200";"MW00000";"BU04820403";"2020JJ00";"    46.1";"     5.5";"    52.9";"     5.3"
"432786";"80200";"MW00000";"BU04820404";"2020JJ00";"    61.9";"     8.7";"    70.6";"    13.3"
