"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312353";"80200";"MW00000";"BU16802008";"2020JJ00";"Buurt     ";"BU16802008          ";"       .";"       .";"       .";"       ."
"312356";"80200";"MW00000";"BU16802009";"2020JJ00";"Buurt     ";"BU16802009          ";"    43.8";"    45.2";"     7.6";"    43.1"
"312359";"80200";"MW00000";"WK168021  ";"2020JJ00";"Wijk      ";"WK168021            ";"    43.4";"    42.7";"     5.5";"    40.4"
"312362";"80200";"MW00000";"BU16802100";"2020JJ00";"Buurt     ";"BU16802100          ";"    43.8";"    42.6";"     5.6";"    40.4"
"312365";"80200";"MW00000";"BU16802101";"2020JJ00";"Buurt     ";"BU16802101          ";"    44.9";"    44.6";"     6.2";"    43.2"
"312368";"80200";"MW00000";"BU16802109";"2020JJ00";"Buurt     ";"BU16802109          ";"    41.7";"    41.7";"     4.7";"    39.1"
"312371";"80200";"MW00000";"GM0358    ";"2020JJ00";"Gemeente  ";"GM0358              ";"    43.3";"    44.7";"     7.3";"    41.6"
"312374";"80200";"MW00000";"WK035800  ";"2020JJ00";"Wijk      ";"WK035800            ";"    44.0";"    46.0";"     7.6";"    42.9"
"312377";"80200";"MW00000";"BU03580000";"2020JJ00";"Buurt     ";"BU03580000          ";"    43.6";"    47.8";"     8.5";"    44.3"
"312380";"80200";"MW00000";"BU03580001";"2020JJ00";"Buurt     ";"BU03580001          ";"    44.7";"    46.0";"     7.6";"    42.6"
"312383";"80200";"MW00000";"BU03580004";"2020JJ00";"Buurt     ";"BU03580004          ";"    44.0";"    45.9";"     7.5";"    43.2"
"312386";"80200";"MW00000";"BU03580005";"2020JJ00";"Buurt     ";"BU03580005          ";"    40.3";"    41.1";"     5.8";"    38.8"
"312389";"80200";"MW00000";"WK035801  ";"2020JJ00";"Wijk      ";"WK035801            ";"    42.9";"    43.5";"     7.0";"    41.0"
"312392";"80200";"MW00000";"BU03580100";"2020JJ00";"Buurt     ";"BU03580100          ";"    42.9";"    43.5";"     7.0";"    41.0"
"312395";"80200";"MW00000";"WK035802  ";"2020JJ00";"Wijk      ";"WK035802            ";"    42.2";"    43.2";"     6.8";"    39.5"
"312398";"80200";"MW00000";"BU03580200";"2020JJ00";"Buurt     ";"BU03580200          ";"    37.4";"    38.4";"     5.5";"    34.4"
"312401";"80200";"MW00000";"BU03580201";"2020JJ00";"Buurt     ";"BU03580201          ";"    38.8";"    41.4";"     5.9";"    37.6"
"312404";"80200";"MW00000";"BU03580205";"2020JJ00";"Buurt     ";"BU03580205          ";"    44.3";"    45.3";"     7.4";"    41.7"
